PREF,MUNI_CD,MUNI_NAME,SEQ,ADR,USE_PDF,USE_SRC,GC_LEVEL,GC_METHOD,GC_LAT,GC_LON,TRUTH_LAT,TRUTH_LON,IN_MUNI,ERROR_KM
20,20212,大町市,12,大町,3,3,town,A_normalize,36.524630,137.870628,36.489802,137.854721,True,4.125
20,20212,大町市,13,平,1,1,town,A_normalize,36.498712,137.734753,36.526716,137.815847,True,7.888
20,20213,飯山市,14,大字飯山北町 地内,5,5,town,A_normalize,36.854400,138.327453,36.858375,138.368707,True,3.697
20,20214,茅野市,15,宮川,1,2,town,A_normalize,35.978166,138.160466,35.985519,138.156195,True,0.903
20,20214,茅野市,16,豊平,1,1,town,A_normalize,36.008593,138.295905,36.017725,138.243686,True,4.805
20,20215,塩尻市,17,五千石,2,2,town,A_normalize,36.137172,137.971314,36.136561,137.966049,True,0.478
20,20215,塩尻市,18,広丘野村,1,1,town,A_normalize,36.144836,137.957696,36.145917,137.951293,True,0.587
20,20217,佐久市,19,中込(佐久総合病院佐久医療センター),5,5,town,A_normalize,36.242432,138.466709,36.250483,138.472264,True,1.024
20,20220,安曇野市,20,豊科高家,1,3,town,A_normalize,36.273491,137.927558,36.273986,137.936718,True,0.823
20,20309,佐久穂町,21,大字上,1,1,town,A_normalize,36.126216,138.377626,36.158555,138.451203,True,7.522
20,20362,富士見町,22,立沢,1,1,town,A_normalize,35.944188,138.283352,35.94631,138.270079,True,1.218
20,20363,原村,23,横見山,1,1,city,A_city_fallback,35.964354,138.217471,35.965732,138.268221,True,4.57
20,20485,白馬村,24,北城,5,5,town,A_normalize,36.708415,137.838605,36.697031,137.854716,True,1.915
20,20602,栄村,25,大字豊栄字鴨付,1,1,town,A_normalize,37.004202,138.527619,36.984822,138.501331,True,3.177
23,23104,名古屋市,1,栄生1‐1‐,2,2,town,A_normalize,35.185553,136.876962,35.184053,136.875649,True,0.205
23,23104,名古屋市,2,上名古屋3丁目12番18号,5,5,town,A_normalize,35.195646,136.893307,35.195809,136.892658,True,0.062
23,23105,名古屋市,3,太閤3‐7‐,2,2,town,A_normalize,35.165641,136.879273,35.162179,136.883511,True,0.545
23,23111,名古屋市,4,港明町1‐10‐,2,2,town,A_normalize,35.090505,136.884416,35.108269,136.889932,True,2.038
23,23112,名古屋市,5,菊住1‐7‐,2,2,town,A_normalize,35.114868,136.935239,35.110976,136.935976,True,0.438
23,23114,名古屋市,6,大高町奥平子1‐,3,3,city,A_city_fallback,35.070721,136.952602,35.055232,136.94928,True,1.749
23,23115,名古屋市,7,香流1丁目,5,5,town,A_normalize,35.187924,136.989773,35.187378,136.990089,True,0.067
23,23201,豊橋市,8,北山町地内,2,2,town,A_normalize,34.735825,137.391003,34.738652,137.39191,True,0.325
23,23202,岡崎市,9,大門1丁目,5,5,town,A_normalize,34.981038,137.150678,34.976761,137.153992,True,0.563
23,23203,一宮市,10,一宮中島裏,5,5,city,A_city_fallback,35.304013,136.802344,35.320094,136.81244,True,2.009
23,23203,一宮市,11,今伊勢町本神戸河原,1,1,city,A_city_fallback,35.304013,136.802344,35.312355,136.794107,True,1.191
23,23203,一宮市,12,小信中島西山,3,3,city,A_city_fallback,35.304013,136.802344,35.309676,136.742366,True,5.479
23,23203,一宮市,13,浅井町尾関億屋敷,2,2,town,A_normalize,35.348453,136.825916,35.347929,136.82634,True,0.07
23,23203,一宮市,14,浅野字大曲,3,3,town,A_normalize,35.294070,136.828577,35.295314,136.823755,True,0.459
