MUNI_CD,pref,county,city,ward,lon,lat
06381,山形県,東置賜郡,高畠町,,140.189113,38.002745
06382,山形県,東置賜郡,川西町,,140.053094,38.005188
06401,山形県,西置賜郡,小国町,,139.743333,38.061391
06402,山形県,西置賜郡,白鷹町,,140.098571,38.183069
06403,山形県,西置賜郡,飯豊町,,139.987617,38.045714
06426,山形県,東田川郡,三川町,,139.849612,38.794529
06428,山形県,東田川郡,庄内町,,139.904723,38.849845
06461,山形県,飽海郡,遊佐町,,139.908673,39.014837
07201,福島県,,福島市,,140.473269,37.760759
07202,福島県,,会津若松市,,139.929707,37.494842
07203,福島県,,郡山市,,140.35965,37.400455
07204,福島県,,いわき市,,140.887687,37.050456
07205,福島県,,白河市,,140.210923,37.126379
07207,福島県,,須賀川市,,140.37253400000003,37.286913
07208,福島県,,喜多方市,,139.874484,37.651134
07209,福島県,,相馬市,,140.9189,37.797242
07210,福島県,,二本松市,,140.431199,37.584783
07211,福島県,,田村市,,140.576339,37.440592
07212,福島県,,南相馬市,,140.957237,37.642197
07213,福島県,,伊達市,,140.562894,37.819095
07214,福島県,,本宮市,,140.393877,37.513162
07301,福島県,伊達郡,桑折町,,140.520775,37.85464
07303,福島県,伊達郡,国見町,,140.549228,37.876822
07308,福島県,伊達郡,川俣町,,140.598244,37.664989
07322,福島県,安達郡,大玉村,,140.371058,37.534362
07342,福島県,岩瀬郡,鏡石町,,140.343405,37.252858
07344,福島県,岩瀬郡,天栄村,,140.247165,37.255576
07362,福島県,南会津郡,下郷町,,139.872084,37.255571
07364,福島県,南会津郡,檜枝岐村,,139.388941,37.024141
07367,福島県,南会津郡,只見町,,139.315789,37.348657
07368,福島県,南会津郡,南会津町,,139.773215,37.200389
07402,福島県,耶麻郡,北塩原村,,139.937383,37.655673
07405,福島県,耶麻郡,西会津町,,139.649314,37.5874
07407,福島県,耶麻郡,磐梯町,,139.988766,37.562099
07408,福島県,耶麻郡,猪苗代町,,140.104794,37.557799
07421,福島県,河沼郡,会津坂下町,,139.821732,37.561457
07422,福島県,河沼郡,湯川村,,139.886738,37.565657
07423,福島県,河沼郡,柳津町,,139.719552,37.526035
07444,福島県,大沼郡,三島町,,139.644441,37.470292
07445,福島県,大沼郡,金山町,,139.524524,37.453735
07446,福島県,大沼郡,昭和村,,139.610666,37.335446
07447,福島県,大沼郡,会津美里町,,139.834011,37.46524
07461,福島県,西白河郡,西郷村,,140.155299,37.141767
07464,福島県,西白河郡,泉崎村,,140.303441,37.153797
07465,福島県,西白河郡,中島村,,140.35023,37.148756
07466,福島県,西白河郡,矢吹町,,140.338493,37.201221
07481,福島県,東白川郡,棚倉町,,140.379591,37.029867
07482,福島県,東白川郡,矢祭町,,140.424755,36.871334
07483,福島県,東白川郡,塙町,,140.409647,36.957238
07484,福島県,東白川郡,鮫川村,,140.509699,37.042229
07501,福島県,石川郡,石川町,,140.446767,37.157055
07502,福島県,石川郡,玉川村,,140.408939,37.210718
07503,福島県,石川郡,平田村,,140.575685,37.221944
07504,福島県,石川郡,浅川町,,140.412852,37.080947
07505,福島県,石川郡,古殿町,,140.555692,37.089182
07521,福島県,田村郡,三春町,,140.492575,37.441047
07522,福島県,田村郡,小野町,,140.62628,37.286823
07541,福島県,双葉郡,広野町,,140.994561,37.214403
07542,福島県,双葉郡,楢葉町,,140.993465,37.282605
07543,福島県,双葉郡,富岡町,,141.008652,37.345496000000004
07544,福島県,双葉郡,川内村,,140.809266,37.33768
07545,福島県,双葉郡,大熊町,,140.958329,37.38175700000001
